familia,subfamilia,Desc_familia,Desc_subfam,Product Manager
AUT,AC8,Automatización y Control,Accesorios AUT,JPG
AUT,CS1,Automatización y Control,Aparellaje Eléctrico,JPG
AUT,EC1,Automatización y Control,Envolventes,JPG
AUT,OI1,Automatización y Control,Soluciones de Interfaz Operador,JPG
AUT,PU1,Automatización y Control,Pulsadores. Pilotos e Interrruptores,JPG
AUT,RDA,Automatización y Control,Fuentes de Alimentación,JPG
AUT,RDS,Automatización y Control,Relés de Seguridad,JPG
AUT,SA1,Automatización y Control,Sistemas de Alimentación Interrumpida,JPG
AUT,SP8,Automatización y Control,Varios AUT,JPG
AUT,VF1,Automatización y Control,Variadores de Frecuencia,JPG
CAL,AC9,Calibración,Accesorios CAL,JMO
CAL,CPM,Calibración,Calibradores de Presión,JMO
CAL,CSM,Calibración,Calibradores de Señal,JMO
CAL,CT2,Calibración,Certificados de Calibradores,JMO
CAL,CTM,Calibración,Calibradores de Temperatura,JMO
CAL,PC1,Calibración,Certificados de Calibración Presión,JPL
CAL,REC,Calibración,Reparación Equipos de Calibración,JMO
CAL,SP9,Calibración,Varios CAL,JMO
CAL,TC1,Calibración,Certificado de Calibración Temperatura,JPL
EPM,AC3,Medida de Presión Electrónica,Accesorios EPM,ACI
EPM,PT0,Medida de Presión Electrónica,Transmisores Presión Inteligentes,ACI
EPM,PT1,Medida de Presión Electrónica,Transmisores Presión Estándar,ACI
EPM,PT2,Medida de Presión Electrónica,Transmisores Presión Higiénicos,ACI
EPM,PT3,Medida de Presión Electrónica,Transmisores Presión Alta Presión,ACI
EPM,PT4,Medida de Presión Electrónica,Transmisores Presión Sumergibles,ACI
EPM,PT5,Medida de Presión Electrónica,Transmisores Presión OEM,ACI
EPM,PT6,Medida de Presión Electrónica,Interruptores Presión Digitales,ACI
EPM,PT7,Medida de Presión Electrónica,Transmisores Diferenciales baja Presión,JPG
EPM,SP3,Medida de Presión Electrónica,Varios EPM,ACI
ETM,AC5,Medida de Temperatura Electrónica,Accessorios ETM,JPL
ETM,IRP,Medida de Temperatura Electrónica,Indicadores y Registradores Proceso,JPL
ETM,RES,Medida de Temperatura Electrónica,Resistencias Eléctricas,JPG
ETM,SP5,Medida de Temperatura Electrónica,Varios ETM,JPL
ETM,TIM,Medida de Temperatura Electrónica,Termómetros Infrarojos y Pirómetros,JPL
